locus_tag	ftype	length_bp	gene	EC_number	COG	product
KNJFBCIG_00048	CDS	762	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KNJFBCIG_00049	CDS	1386	hemL2	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase 2
KNJFBCIG_00050	CDS	825	moaF			Protein MoaF
KNJFBCIG_00051	CDS	597	lpfA			putative major fimbrial subunit LpfA
KNJFBCIG_00052	CDS	747	yadV_1			putative fimbrial chaperone YadV
KNJFBCIG_00053	CDS	2781	htrE		COG3188	Outer membrane usher protein HtrE
KNJFBCIG_00054	CDS	741	yadV_2			putative fimbrial chaperone YadV
KNJFBCIG_00055	CDS	3057				hypothetical protein
KNJFBCIG_00056	CDS	1146				hypothetical protein
KNJFBCIG_00057	CDS	645	rcsB_1		COG2197	Transcriptional regulatory protein RcsB
KNJFBCIG_00058	CDS	690				hypothetical protein
KNJFBCIG_00059	CDS	2976	lgrD_1			Linear gramicidin synthase subunit D
KNJFBCIG_00060	CDS	207				hypothetical protein
KNJFBCIG_00061	CDS	375				hypothetical protein
KNJFBCIG_00062	CDS	837				hypothetical protein
KNJFBCIG_00063	CDS	669				hypothetical protein
KNJFBCIG_00064	CDS	1488	styD	1.2.1.39		Phenylacetaldehyde dehydrogenase
KNJFBCIG_00065	CDS	456				hypothetical protein
KNJFBCIG_00066	CDS	528				hypothetical protein
KNJFBCIG_00067	CDS	579				hypothetical protein
KNJFBCIG_00068	CDS	951	feaR		COG2207	Transcriptional activator FeaR
KNJFBCIG_00069	CDS	885	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
KNJFBCIG_00070	CDS	930	wbgU	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
KNJFBCIG_00071	CDS	357				hypothetical protein
KNJFBCIG_00072	CDS	699	ompW_1		COG3047	Outer membrane protein W
KNJFBCIG_00073	CDS	519				hypothetical protein
KNJFBCIG_00074	CDS	1266				hypothetical protein
KNJFBCIG_00075	CDS	705			COG1136	putative ABC transporter ATP-binding protein
KNJFBCIG_00076	CDS	591				hypothetical protein
KNJFBCIG_00077	CDS	357				hypothetical protein
KNJFBCIG_00078	CDS	870	cnoX		COG3118	Chaperedoxin
KNJFBCIG_00079	CDS	663	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
KNJFBCIG_00080	CDS	441				hypothetical protein
KNJFBCIG_00081	CDS	510	nrdR		COG1327	Transcriptional repressor NrdR
KNJFBCIG_00082	CDS	1122	ribD		COG0117	Riboflavin biosynthesis protein RibD
KNJFBCIG_00083	CDS	660	ribE	2.5.1.9		Riboflavin synthase
KNJFBCIG_00084	CDS	1098	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
KNJFBCIG_00085	CDS	477	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
KNJFBCIG_00086	CDS	480	nusB			Transcription antitermination protein NusB
KNJFBCIG_00087	CDS	969	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
KNJFBCIG_00088	CDS	516	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
KNJFBCIG_00089	CDS	747				hypothetical protein
KNJFBCIG_00090	CDS	645				hypothetical protein
KNJFBCIG_00091	CDS	618				Riboflavin biosynthesis protein
KNJFBCIG_00092	CDS	420				hypothetical protein
KNJFBCIG_00093	CDS	798	btuF_1		COG0614	Vitamin B12-binding protein
KNJFBCIG_00094	CDS	1884	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
KNJFBCIG_00095	CDS	888	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
KNJFBCIG_00096	CDS	345	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
KNJFBCIG_00097	CDS	1170	tarD	4.2.1.81	COG4948	D(-)-tartrate dehydratase
KNJFBCIG_00098	CDS	1008				hypothetical protein
KNJFBCIG_00099	CDS	1803				hypothetical protein
KNJFBCIG_00100	CDS	735				hypothetical protein
KNJFBCIG_00101	CDS	927	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KNJFBCIG_00102	CDS	2301	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
KNJFBCIG_00103	CDS	1002				hypothetical protein
KNJFBCIG_00104	CDS	690	aqpZ		COG0580	Aquaporin Z
KNJFBCIG_00105	CDS	270				hypothetical protein
KNJFBCIG_00106	CDS	717	walR_1		COG0745	Transcriptional regulatory protein WalR
KNJFBCIG_00107	CDS	528	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
KNJFBCIG_00108	CDS	831	mtfA		COG3228	Protein MtfA
KNJFBCIG_00109	CDS	666	dedA		COG0586	Protein DedA
KNJFBCIG_00110	CDS	1590				hypothetical protein
KNJFBCIG_00111	CDS	900				hypothetical protein
KNJFBCIG_00112	CDS	462				hypothetical protein
KNJFBCIG_00113	CDS	822	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
KNJFBCIG_00114	CDS	1395	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
KNJFBCIG_00115	CDS	1449	potE_1			Putrescine transporter PotE
KNJFBCIG_00116	CDS	189	adh_1	1.2.1.3	COG1012	Aldehyde dehydrogenase
KNJFBCIG_00117	CDS	891				hypothetical protein
KNJFBCIG_00118	CDS	483	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
KNJFBCIG_00119	CDS	663	sspA_1		COG0625	Stringent starvation protein A 
KNJFBCIG_00120	CDS	774				hypothetical protein
KNJFBCIG_00121	tRNA	76				tRNA-Glu(ttc)
KNJFBCIG_00122	tRNA	76				tRNA-Gly(gcc)
KNJFBCIG_00123	tRNA	76				tRNA-Gly(gcc)
KNJFBCIG_00124	CDS	1905				hypothetical protein
KNJFBCIG_00125	CDS	1098			COG3039	IS5 family transposase ISXoo14
KNJFBCIG_00126	CDS	3120	cusA		COG3696	Cation efflux system protein CusA
KNJFBCIG_00127	CDS	1518				hypothetical protein
KNJFBCIG_00128	CDS	1308				hypothetical protein
KNJFBCIG_00129	CDS	369				hypothetical protein
KNJFBCIG_00130	CDS	243				hypothetical protein
KNJFBCIG_00131	CDS	891	hcaR_1			Hca operon transcriptional activator HcaR
KNJFBCIG_00132	CDS	285				hypothetical protein
KNJFBCIG_00133	CDS	927	copD			Copper resistance protein D
KNJFBCIG_00134	CDS	387	copC			Copper resistance protein C
KNJFBCIG_00135	CDS	2076	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
KNJFBCIG_00136	CDS	273				hypothetical protein
KNJFBCIG_00137	CDS	486				hypothetical protein
KNJFBCIG_00138	CDS	981				hypothetical protein
KNJFBCIG_00139	CDS	1920	copA_2			Copper resistance protein A
KNJFBCIG_00140	CDS	693	cusR		COG0745	Transcriptional regulatory protein CusR
KNJFBCIG_00141	CDS	1155	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
KNJFBCIG_00142	CDS	327				hypothetical protein
KNJFBCIG_00143	CDS	300				hypothetical protein
KNJFBCIG_00144	CDS	1668				hypothetical protein
KNJFBCIG_00145	CDS	1134	ackA_1	2.7.2.1	COG0282	Acetate kinase
KNJFBCIG_00146	CDS	453	zntR_1		COG0789	HTH-type transcriptional regulator ZntR
KNJFBCIG_00147	CDS	1317		2.1.1.-	COG2230	putative fatty acid methyltransferase
KNJFBCIG_00148	CDS	2430	xfp	4.1.2.22		Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase
KNJFBCIG_00149	CDS	603				hypothetical protein
KNJFBCIG_00150	CDS	831				hypothetical protein
KNJFBCIG_00151	CDS	1263				hypothetical protein
KNJFBCIG_00152	CDS	1056				hypothetical protein
KNJFBCIG_00153	CDS	1623	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
KNJFBCIG_00154	CDS	1032	ldhA_1	1.1.1.28	COG1052	D-lactate dehydrogenase
KNJFBCIG_00155	CDS	255				hypothetical protein
KNJFBCIG_00156	CDS	645				hypothetical protein
KNJFBCIG_00157	CDS	900	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
KNJFBCIG_00158	CDS	1554		2.4.2.4		Putative thymidine phosphorylase
KNJFBCIG_00159	CDS	1362		3.1.-.-	COG1236	Ribonuclease
KNJFBCIG_00160	CDS	498				hypothetical protein
KNJFBCIG_00161	CDS	906				hypothetical protein
KNJFBCIG_00162	CDS	612	lemA_1		COG1704	Protein LemA
KNJFBCIG_00163	CDS	1326				hypothetical protein
KNJFBCIG_00164	CDS	2466	copA_3	7.2.2.8	COG2217	Copper-exporting P-type ATPase
KNJFBCIG_00165	CDS	864		2.7.4.1	COG2326	Polyphosphate:ADP phosphotransferase
KNJFBCIG_00166	CDS	159				hypothetical protein
KNJFBCIG_00167	CDS	651				hypothetical protein
KNJFBCIG_00168	CDS	240				hypothetical protein
KNJFBCIG_00169	CDS	402				hypothetical protein
KNJFBCIG_00170	CDS	423	merR			Mercuric resistance operon regulatory protein
KNJFBCIG_00171	CDS	426	soxR_1		COG0789	Redox-sensitive transcriptional activator SoxR
KNJFBCIG_00172	CDS	465				hypothetical protein
KNJFBCIG_00173	CDS	1296				ISL3 family transposase ISIde1
KNJFBCIG_00174	CDS	1815				hypothetical protein
KNJFBCIG_00175	CDS	627				hypothetical protein
KNJFBCIG_00176	CDS	633				hypothetical protein
KNJFBCIG_00177	CDS	366				hypothetical protein
KNJFBCIG_00178	CDS	1521				hypothetical protein
KNJFBCIG_00179	CDS	360				hypothetical protein
KNJFBCIG_00180	CDS	1395				hypothetical protein
KNJFBCIG_00181	CDS	951				hypothetical protein
KNJFBCIG_00182	CDS	399				hypothetical protein
KNJFBCIG_00183	CDS	495				hypothetical protein
KNJFBCIG_00184	CDS	768				hypothetical protein
KNJFBCIG_00185	CDS	2892				hypothetical protein
KNJFBCIG_00186	CDS	456				hypothetical protein
KNJFBCIG_00187	CDS	1419				hypothetical protein
KNJFBCIG_00188	CDS	912				hypothetical protein
KNJFBCIG_00189	CDS	693				hypothetical protein
KNJFBCIG_00190	CDS	399				hypothetical protein
KNJFBCIG_00191	CDS	360				hypothetical protein
KNJFBCIG_00192	CDS	234				hypothetical protein
KNJFBCIG_00193	CDS	384				hypothetical protein
KNJFBCIG_00194	CDS	471				hypothetical protein
KNJFBCIG_00195	CDS	576				hypothetical protein
KNJFBCIG_00196	CDS	915	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
KNJFBCIG_00197	CDS	471				hypothetical protein
KNJFBCIG_00198	CDS	501				hypothetical protein
KNJFBCIG_00199	CDS	903				hypothetical protein
KNJFBCIG_00200	CDS	726				hypothetical protein
KNJFBCIG_00201	CDS	2625				hypothetical protein
KNJFBCIG_00202	CDS	750				hypothetical protein
KNJFBCIG_00203	CDS	2193				hypothetical protein
KNJFBCIG_00204	CDS	549				hypothetical protein
KNJFBCIG_00205	CDS	603				hypothetical protein
KNJFBCIG_00206	CDS	726				hypothetical protein
KNJFBCIG_00207	CDS	645				hypothetical protein
KNJFBCIG_00208	CDS	579				hypothetical protein
KNJFBCIG_00209	CDS	321				hypothetical protein
KNJFBCIG_00210	CDS	531	arsC_1	1.20.4.4		Arsenate reductase
KNJFBCIG_00211	CDS	1077	acr3		COG0798	Arsenical-resistance protein Acr3
KNJFBCIG_00212	CDS	423	arsC_2	1.20.4.1		Arsenate reductase
KNJFBCIG_00213	CDS	738	arsH_1	1.-.-.-	COG0431	NADPH-dependent FMN reductase ArsH
KNJFBCIG_00214	CDS	2280				hypothetical protein
KNJFBCIG_00215	CDS	228				hypothetical protein
KNJFBCIG_00216	CDS	321				hypothetical protein
KNJFBCIG_00217	CDS	1110				hypothetical protein
KNJFBCIG_00218	CDS	651				hypothetical protein
KNJFBCIG_00219	CDS	342				hypothetical protein
KNJFBCIG_00220	CDS	327				hypothetical protein
KNJFBCIG_00221	CDS	690				hypothetical protein
KNJFBCIG_00222	CDS	930				hypothetical protein
KNJFBCIG_00223	CDS	354				hypothetical protein
KNJFBCIG_00224	CDS	813				hypothetical protein
KNJFBCIG_00225	CDS	279				hypothetical protein
KNJFBCIG_00226	CDS	738				hypothetical protein
KNJFBCIG_00227	CDS	393				hypothetical protein
KNJFBCIG_00228	CDS	213				hypothetical protein
KNJFBCIG_00229	CDS	501	lspA_1	3.4.23.36	COG0597	Lipoprotein signal peptidase
KNJFBCIG_00230	CDS	2955	kdpB_1	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
KNJFBCIG_00231	CDS	399	zntR_2		COG0789	HTH-type transcriptional regulator ZntR
KNJFBCIG_00232	CDS	636				hypothetical protein
KNJFBCIG_00233	CDS	2031	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
KNJFBCIG_00234	CDS	441				Single-stranded DNA-binding protein
KNJFBCIG_00235	CDS	528				hypothetical protein
KNJFBCIG_00236	CDS	792				hypothetical protein
KNJFBCIG_00237	CDS	1239				hypothetical protein
KNJFBCIG_00238	CDS	561				hypothetical protein
KNJFBCIG_00239	CDS	1680				hypothetical protein
KNJFBCIG_00240	CDS	270				hypothetical protein
KNJFBCIG_00241	CDS	876	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
KNJFBCIG_00242	CDS	213				hypothetical protein
KNJFBCIG_00243	CDS	747				hypothetical protein
KNJFBCIG_00244	CDS	501				hypothetical protein
KNJFBCIG_00245	CDS	321				hypothetical protein
KNJFBCIG_00246	CDS	321				hypothetical protein
KNJFBCIG_00247	CDS	546				hypothetical protein
KNJFBCIG_00248	CDS	240				hypothetical protein
KNJFBCIG_00249	CDS	195				hypothetical protein
KNJFBCIG_00250	CDS	2142				hypothetical protein
KNJFBCIG_00251	CDS	633				hypothetical protein
KNJFBCIG_00252	CDS	243				hypothetical protein
KNJFBCIG_00253	CDS	594				hypothetical protein
KNJFBCIG_00254	CDS	726				hypothetical protein
KNJFBCIG_00255	CDS	411				hypothetical protein
KNJFBCIG_00256	CDS	381				hypothetical protein
KNJFBCIG_00257	CDS	2448	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
KNJFBCIG_00258	CDS	672				hypothetical protein
KNJFBCIG_00259	CDS	621	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GstB
KNJFBCIG_00260	CDS	933	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
KNJFBCIG_00261	CDS	780	yadH		COG0842	Inner membrane transport permease YadH
KNJFBCIG_00262	CDS	1332	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
KNJFBCIG_00263	CDS	681	copR			Transcriptional activator protein CopR
KNJFBCIG_00264	CDS	192				hypothetical protein
KNJFBCIG_00265	CDS	546				hypothetical protein
KNJFBCIG_00266	CDS	831	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
KNJFBCIG_00267	CDS	264				hypothetical protein
KNJFBCIG_00268	CDS	582				hypothetical protein
KNJFBCIG_00269	CDS	744	phnX_1	3.11.1.1		Phosphonoacetaldehyde hydrolase
KNJFBCIG_00270	CDS	720	phnR_1		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
KNJFBCIG_00271	CDS	405				hypothetical protein
KNJFBCIG_00272	CDS	705	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
KNJFBCIG_00273	CDS	300				hypothetical protein
KNJFBCIG_00274	CDS	1185	rssB_1		COG0784	Regulator of RpoS
KNJFBCIG_00275	CDS	483				hypothetical protein
KNJFBCIG_00276	CDS	924	tal	2.2.1.2		Transaldolase
KNJFBCIG_00277	CDS	939	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
KNJFBCIG_00278	CDS	1317				hypothetical protein
KNJFBCIG_00279	CDS	1035				hypothetical protein
KNJFBCIG_00280	CDS	597				hypothetical protein
KNJFBCIG_00281	CDS	291				hypothetical protein
KNJFBCIG_00282	CDS	1932				hypothetical protein
KNJFBCIG_00283	CDS	378				hypothetical protein
KNJFBCIG_00284	CDS	93				hypothetical protein
KNJFBCIG_00285	CDS	1080				hypothetical protein
KNJFBCIG_00286	CDS	1596				hypothetical protein
KNJFBCIG_00287	CDS	507	cpg2_1	3.4.17.11		Carboxypeptidase G2
KNJFBCIG_00288	CDS	780	cpg2_2	3.4.17.11		Carboxypeptidase G2
KNJFBCIG_00289	CDS	468				hypothetical protein
KNJFBCIG_00290	CDS	219				hypothetical protein
KNJFBCIG_00291	CDS	558				hypothetical protein
KNJFBCIG_00292	CDS	1800				hypothetical protein
KNJFBCIG_00293	CDS	660				hypothetical protein
KNJFBCIG_00294	CDS	342				hypothetical protein
KNJFBCIG_00295	CDS	345				hypothetical protein
KNJFBCIG_00296	CDS	399				hypothetical protein
KNJFBCIG_00297	CDS	978				hypothetical protein
KNJFBCIG_00298	CDS	957	yfdC		COG2116	Inner membrane protein YfdC
KNJFBCIG_00299	CDS	1284	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
KNJFBCIG_00300	tRNA	77				tRNA-Val(gac)
KNJFBCIG_00301	CDS	438				hypothetical protein
KNJFBCIG_00302	CDS	588				hypothetical protein
KNJFBCIG_00303	CDS	507				hypothetical protein
KNJFBCIG_00304	CDS	171				hypothetical protein
KNJFBCIG_00305	CDS	225				hypothetical protein
KNJFBCIG_00306	CDS	834	hel		COG2503	Lipoprotein E
KNJFBCIG_00307	CDS	267				hypothetical protein
KNJFBCIG_00308	CDS	780	yddE_1	5.1.-.-	COG0384	putative isomerase YddE
KNJFBCIG_00309	CDS	411				hypothetical protein
KNJFBCIG_00310	CDS	483				hypothetical protein
KNJFBCIG_00311	CDS	969	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
KNJFBCIG_00312	CDS	582				hypothetical protein
KNJFBCIG_00313	CDS	96				hypothetical protein
KNJFBCIG_00314	CDS	882				hypothetical protein
KNJFBCIG_00315	CDS	696				hypothetical protein
KNJFBCIG_00316	CDS	210				hypothetical protein
KNJFBCIG_00317	CDS	189				hypothetical protein
KNJFBCIG_00318	CDS	210				hypothetical protein
KNJFBCIG_00319	CDS	345				hypothetical protein
KNJFBCIG_00320	CDS	372				hypothetical protein
KNJFBCIG_00321	CDS	1281	oprD_1	3.4.21.-		Porin D
KNJFBCIG_00322	CDS	315				hypothetical protein
KNJFBCIG_00323	CDS	888	yhaJ_1			HTH-type transcriptional regulator YhaJ
KNJFBCIG_00324	CDS	444				hypothetical protein
KNJFBCIG_00325	CDS	387				hypothetical protein
KNJFBCIG_00326	CDS	471	eco		COG4574	Ecotin
KNJFBCIG_00327	CDS	231				hypothetical protein
KNJFBCIG_00328	CDS	198				hypothetical protein
KNJFBCIG_00329	CDS	330	yqjD_1		COG4575	putative protein YqjD
KNJFBCIG_00330	CDS	375				hypothetical protein
KNJFBCIG_00331	CDS	444	yqaA		COG1238	Inner membrane protein YqaA
KNJFBCIG_00332	CDS	318				hypothetical protein
KNJFBCIG_00333	CDS	900				hypothetical protein
KNJFBCIG_00334	CDS	234				hypothetical protein
KNJFBCIG_00335	CDS	231				hypothetical protein
KNJFBCIG_00336	CDS	519				hypothetical protein
KNJFBCIG_00337	CDS	714	nucM	3.1.21.-	COG2356	Nuclease NucM
KNJFBCIG_00338	CDS	222				hypothetical protein
KNJFBCIG_00339	CDS	783	map_1	3.4.11.18	COG0024	Methionine aminopeptidase
KNJFBCIG_00340	CDS	234				hypothetical protein
KNJFBCIG_00341	CDS	288				hypothetical protein
KNJFBCIG_00342	CDS	90				hypothetical protein
KNJFBCIG_00343	CDS	177				hypothetical protein
KNJFBCIG_00344	CDS	327				hypothetical protein
KNJFBCIG_00345	CDS	864	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
KNJFBCIG_00346	CDS	1923	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
KNJFBCIG_00347	CDS	534	infC		COG0290	Translation initiation factor IF-3
KNJFBCIG_00348	CDS	195	rpmI		COG0291	50S ribosomal protein L35
KNJFBCIG_00349	CDS	357	rplT		COG0292	50S ribosomal protein L20
KNJFBCIG_00350	CDS	1017	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
KNJFBCIG_00351	CDS	2379	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
KNJFBCIG_00352	CDS	303	ihfA		COG0776	Integration host factor subunit alpha
KNJFBCIG_00353	CDS	357				hypothetical protein
KNJFBCIG_00354	tRNA	77				tRNA-Pro(ggg)
KNJFBCIG_00355	CDS	975				hypothetical protein
KNJFBCIG_00356	CDS	3141	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
KNJFBCIG_00357	CDS	1230				hypothetical protein
KNJFBCIG_00358	CDS	1248	czcC_1			Cobalt-zinc-cadmium resistance protein CzcC
KNJFBCIG_00359	CDS	996	htpX_1	3.4.24.-		Protease HtpX
KNJFBCIG_00360	CDS	399				hypothetical protein
KNJFBCIG_00361	CDS	1983				hypothetical protein
KNJFBCIG_00362	CDS	603				hypothetical protein
KNJFBCIG_00363	CDS	534				hypothetical protein
KNJFBCIG_00364	CDS	273				hypothetical protein
KNJFBCIG_00365	CDS	639	soj_2	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
KNJFBCIG_00366	CDS	858				hypothetical protein
KNJFBCIG_00367	CDS	282				hypothetical protein
KNJFBCIG_00368	CDS	762				hypothetical protein
KNJFBCIG_00369	CDS	351				hypothetical protein
KNJFBCIG_00370	CDS	306				hypothetical protein
KNJFBCIG_00371	CDS	315				hypothetical protein
KNJFBCIG_00372	CDS	162				hypothetical protein
KNJFBCIG_00373	CDS	210				hypothetical protein
KNJFBCIG_00374	CDS	2052	noc			Nucleoid occlusion protein
KNJFBCIG_00375	CDS	825				hypothetical protein
KNJFBCIG_00376	CDS	279				hypothetical protein
KNJFBCIG_00377	CDS	351				hypothetical protein
KNJFBCIG_00378	CDS	1311				hypothetical protein
KNJFBCIG_00379	CDS	258				hypothetical protein
KNJFBCIG_00380	CDS	393				hypothetical protein
KNJFBCIG_00381	CDS	1065	yhcG	3.1.-.-	COG4804	Putative nuclease YhcG
KNJFBCIG_00382	CDS	1200				hypothetical protein
KNJFBCIG_00383	CDS	1416	proY_1		COG1113	Proline-specific permease ProY
KNJFBCIG_00384	CDS	666	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
KNJFBCIG_00385	CDS	204				hypothetical protein
KNJFBCIG_00386	CDS	2994				hypothetical protein
KNJFBCIG_00387	CDS	1164				hypothetical protein
KNJFBCIG_00388	CDS	306	gdx_1			Guanidinium exporter
KNJFBCIG_00389	CDS	639	azoR1_1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 1
KNJFBCIG_00390	CDS	918	gcvA_1			Glycine cleavage system transcriptional activator
KNJFBCIG_00391	CDS	1521	putP_1		COG0591	Sodium/proline symporter
KNJFBCIG_00392	CDS	3183	putA		COG0506	Bifunctional protein PutA
KNJFBCIG_00393	CDS	2064			COG1629	putative TonB-dependent receptor
KNJFBCIG_00394	CDS	753	rhaS_1			HTH-type transcriptional activator RhaS
KNJFBCIG_00395	CDS	2400	lon_1	3.4.21.53	COG0466	Lon protease
KNJFBCIG_00396	CDS	405				hypothetical protein
KNJFBCIG_00397	CDS	753				hypothetical protein
KNJFBCIG_00398	CDS	573				hypothetical protein
KNJFBCIG_00399	CDS	759	cmoA_1	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
KNJFBCIG_00400	CDS	969	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
