locus_tag	ftype	length_bp	gene	EC_number	COG	product
IKAIPODG_00080	CDS	1671	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
IKAIPODG_00081	CDS	498	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
IKAIPODG_00082	CDS	723	lpxH_1	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
IKAIPODG_00083	CDS	1446				hypothetical protein
IKAIPODG_00084	CDS	612				hypothetical protein
IKAIPODG_00085	CDS	864	uspE_1		COG0589	Universal stress protein E
IKAIPODG_00086	CDS	468				hypothetical protein
IKAIPODG_00087	CDS	2610	acnB	4.2.1.3	COG1049	Aconitate hydratase B
IKAIPODG_00088	CDS	1209	nrtA			Nitrate/nitrite binding protein NrtA
IKAIPODG_00089	CDS	579	pdtaR		COG3707	putative transcriptional regulatory protein pdtaR
IKAIPODG_00090	CDS	696	alyA_1	4.2.2.3		Alginate lyase
IKAIPODG_00091	CDS	1212	nasA			Nitrate transporter
IKAIPODG_00092	CDS	1668	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
IKAIPODG_00093	CDS	2451	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
IKAIPODG_00094	CDS	327	hcaC			3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
IKAIPODG_00095	tRNA	99				tRNA-Cys(gca)
IKAIPODG_00096	CDS	738	sumT	2.1.1.107	COG0007	Uroporphyrinogen-III C-methyltransferase
IKAIPODG_00097	CDS	1053	oprF		COG2885	Outer membrane porin F
IKAIPODG_00098	CDS	498	sigW		COG1595	ECF RNA polymerase sigma factor SigW
IKAIPODG_00099	CDS	825				hypothetical protein
IKAIPODG_00100	CDS	249				hypothetical protein
IKAIPODG_00101	CDS	999	zntB_1		COG0598	Zinc transport protein ZntB
IKAIPODG_00102	CDS	489		4.1.3.17	COG0684	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase
IKAIPODG_00103	CDS	1011				hypothetical protein
IKAIPODG_00104	CDS	2376	ppsA	2.7.9.2		Phosphoenolpyruvate synthase
IKAIPODG_00105	CDS	819	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
IKAIPODG_00106	CDS	540				hypothetical protein
IKAIPODG_00107	CDS	1527				hypothetical protein
IKAIPODG_00108	CDS	984				hypothetical protein
IKAIPODG_00109	CDS	1191				hypothetical protein
IKAIPODG_00110	CDS	1599				hypothetical protein
IKAIPODG_00111	CDS	1026				hypothetical protein
IKAIPODG_00112	CDS	762				hypothetical protein
IKAIPODG_00113	CDS	438				hypothetical protein
IKAIPODG_00114	CDS	2724	malT_1			HTH-type transcriptional regulator MalT
IKAIPODG_00115	CDS	2571	malT_2			HTH-type transcriptional regulator MalT
IKAIPODG_00116	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
IKAIPODG_00117	CDS	618	thrH	3.1.3.3	COG0560	Phosphoserine phosphatase ThrH
IKAIPODG_00118	CDS	735	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
IKAIPODG_00119	CDS	348				hypothetical protein
IKAIPODG_00120	CDS	975	cysB			HTH-type transcriptional regulator CysB
IKAIPODG_00121	CDS	498				hypothetical protein
IKAIPODG_00122	CDS	948				hypothetical protein
IKAIPODG_00123	CDS	381				hypothetical protein
IKAIPODG_00124	CDS	1077	aroF_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
IKAIPODG_00125	CDS	285				hypothetical protein
IKAIPODG_00126	CDS	690	fadB_1	5.3.3.8		Fatty acid oxidation complex subunit alpha
IKAIPODG_00127	CDS	189				hypothetical protein
IKAIPODG_00128	CDS	507				hypothetical protein
IKAIPODG_00129	CDS	489				hypothetical protein
IKAIPODG_00130	CDS	219				hypothetical protein
IKAIPODG_00131	CDS	240				hypothetical protein
IKAIPODG_00132	CDS	723				hypothetical protein
IKAIPODG_00133	CDS	372				hypothetical protein
IKAIPODG_00134	CDS	999				hypothetical protein
IKAIPODG_00135	CDS	972	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
IKAIPODG_00136	CDS	915	pgrR_1			HTH-type transcriptional regulator PgrR
IKAIPODG_00137	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
IKAIPODG_00138	CDS	1206	fadA_1	2.3.1.-	COG0183	Putative acyltransferase
IKAIPODG_00139	CDS	102				hypothetical protein
IKAIPODG_00140	CDS	888				hypothetical protein
IKAIPODG_00141	CDS	822				hypothetical protein
IKAIPODG_00142	CDS	732				hypothetical protein
IKAIPODG_00143	CDS	801			COG1305	putative protein
IKAIPODG_00144	CDS	954				hypothetical protein
IKAIPODG_00145	CDS	1413			COG2308	putative protein
IKAIPODG_00146	CDS	699				hypothetical protein
IKAIPODG_00147	CDS	342				hypothetical protein
IKAIPODG_00148	CDS	2058			COG2200	putative signaling protein
IKAIPODG_00149	CDS	2295		3.2.1.-		Beta-xylosidase
IKAIPODG_00150	CDS	645	yscL			Yop proteins translocation protein L
IKAIPODG_00151	CDS	621	yscK			Yop proteins translocation protein K
IKAIPODG_00152	CDS	735	yscJ			Yop proteins translocation lipoprotein J
IKAIPODG_00153	CDS	339	yscI			Yop proteins translocation protein I
IKAIPODG_00154	CDS	432				hypothetical protein
IKAIPODG_00155	CDS	348	pscG			Type III export protein PscG
IKAIPODG_00156	CDS	258	pscF			Type III export protein PscF
IKAIPODG_00157	CDS	204	pscE			Type III export protein PscE
IKAIPODG_00158	CDS	1299	yscD			Yop proteins translocation protein D
IKAIPODG_00159	CDS	1803	sctC_1			Type 3 secretion system secretin
IKAIPODG_00160	CDS	423	yscB			Chaperone protein YscB
IKAIPODG_00161	CDS	831				hypothetical protein
IKAIPODG_00162	CDS	897	exsA		COG2207	Exoenzyme S synthesis regulatory protein ExsA
IKAIPODG_00163	CDS	414	exsB			Type 3 secretion system pilotin
IKAIPODG_00164	CDS	246				hypothetical protein
IKAIPODG_00165	CDS	438	exsC			Exoenzyme S synthesis protein C
IKAIPODG_00166	CDS	888	yopD			Protein YopD
IKAIPODG_00167	CDS	1173	yopB			Protein YopB
IKAIPODG_00168	CDS	507	ipgC		COG0457	Chaperone protein IpgC
IKAIPODG_00169	CDS	885	lcrV			Virulence-associated V antigen
IKAIPODG_00170	CDS	297				hypothetical protein
IKAIPODG_00171	CDS	435				hypothetical protein
IKAIPODG_00172	CDS	2121	invA		COG4789	Invasion protein InvA
IKAIPODG_00173	CDS	330	yscY			Chaperone protein YscY
IKAIPODG_00174	CDS	366	yscX			Yop proteins translocation protein X
IKAIPODG_00175	CDS	372	sycN			Chaperone protein SycN
IKAIPODG_00176	CDS	279	tyeA			Protein TyeA
IKAIPODG_00177	CDS	867	yopN			Outer membrane protein YopN
IKAIPODG_00178	CDS	1290	yscN	7.1.2.2		putative ATP synthase YscN
IKAIPODG_00179	CDS	477				hypothetical protein
IKAIPODG_00180	CDS	399				hypothetical protein
IKAIPODG_00181	CDS	930	yscQ			Yop proteins translocation protein Q
IKAIPODG_00182	CDS	654	spaP		COG4790	Surface presentation of antigens protein SpaP
IKAIPODG_00183	CDS	267	spaQ		COG4794	Surface presentation of antigens protein SpaQ
IKAIPODG_00184	CDS	789	spaR		COG4791	Surface presentation of antigens protein SpaR
IKAIPODG_00185	CDS	1050	yscU			Yop proteins translocation protein U
IKAIPODG_00186	CDS	2103	mdoB_1	2.7.8.20		Phosphoglycerol transferase I
IKAIPODG_00187	CDS	870				hypothetical protein
IKAIPODG_00188	CDS	861	speE_1	2.5.1.-	COG0421	Polyamine aminopropyltransferase
IKAIPODG_00189	CDS	894	alkA		COG0122	putative bifunctional transcriptional activator/DNA repair enzyme AlkA
IKAIPODG_00190	CDS	192				hypothetical protein
IKAIPODG_00191	CDS	678	mtnC	3.1.3.77		Enolase-phosphatase E1
IKAIPODG_00192	CDS	546	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
IKAIPODG_00193	CDS	618	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
IKAIPODG_00194	CDS	1152	hcaT_1			putative 3-phenylpropionic acid transporter
IKAIPODG_00195	CDS	1092	aroC	4.2.3.5		Chorismate synthase
IKAIPODG_00196	CDS	984				hypothetical protein
IKAIPODG_00197	CDS	780				hypothetical protein
IKAIPODG_00198	CDS	915	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
IKAIPODG_00199	CDS	597	sttH_1	3.5.2.19		Streptothricin hydrolase
IKAIPODG_00200	CDS	1281				hypothetical protein
IKAIPODG_00201	CDS	312				hypothetical protein
IKAIPODG_00202	CDS	1434				hypothetical protein
IKAIPODG_00203	CDS	3015				Tn3 family transposase ISPa42
IKAIPODG_00204	CDS	906				hypothetical protein
IKAIPODG_00205	CDS	729				hypothetical protein
IKAIPODG_00206	CDS	1410	hss	2.5.1.44		Homospermidine synthase
IKAIPODG_00207	CDS	1317				hypothetical protein
IKAIPODG_00208	CDS	744				hypothetical protein
IKAIPODG_00209	CDS	972	xerC_1			Tyrosine recombinase XerC
IKAIPODG_00210	CDS	999	smc_1			Chromosome partition protein Smc
IKAIPODG_00211	CDS	645				putative protein
IKAIPODG_00212	CDS	480				hypothetical protein
IKAIPODG_00213	CDS	981			COG3039	IS5 family transposase ISPa41
IKAIPODG_00214	CDS	1506				hypothetical protein
IKAIPODG_00215	CDS	3117	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
IKAIPODG_00216	CDS	1239	acrE_1			Multidrug export protein AcrE
IKAIPODG_00217	CDS	1596	yejF_2		COG4172	putative ABC transporter ATP-binding protein YejF
IKAIPODG_00218	CDS	1026	yejE_2		COG4239	Inner membrane ABC transporter permease protein YejE
IKAIPODG_00219	CDS	1071	yejB_2		COG4174	Inner membrane ABC transporter permease protein YejB
IKAIPODG_00220	CDS	1926				hypothetical protein
IKAIPODG_00221	CDS	1464	btuB_1			Vitamin B12 transporter BtuB
IKAIPODG_00222	rRNA	110				5S ribosomal RNA
IKAIPODG_00223	CDS	939	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
IKAIPODG_00224	CDS	747	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
IKAIPODG_00225	CDS	705				hypothetical protein
IKAIPODG_00226	tRNA	85				tRNA-Tyr(gta)
IKAIPODG_00227	tRNA	74				tRNA-Gly(tcc)
IKAIPODG_00228	tRNA	76				tRNA-Thr(ggt)
IKAIPODG_00229	CDS	549	tufA_1		COG0050	Elongation factor Tu
IKAIPODG_00230	tRNA	76				tRNA-Trp(cca)
IKAIPODG_00231	CDS	378				hypothetical protein
IKAIPODG_00232	CDS	480	nusG		COG0250	Transcription termination/antitermination protein NusG
IKAIPODG_00233	CDS	432	rplK		COG0080	50S ribosomal protein L11
IKAIPODG_00234	CDS	696	rplA		COG0081	50S ribosomal protein L1
IKAIPODG_00235	CDS	501	rplJ		COG0244	50S ribosomal protein L10
IKAIPODG_00236	CDS	369	rplL			50S ribosomal protein L7/L12
IKAIPODG_00237	CDS	4074	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
IKAIPODG_00238	CDS	4200	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
IKAIPODG_00239	CDS	372	rpsL		COG0048	30S ribosomal protein S12
IKAIPODG_00240	CDS	471	rpsG		COG0049	30S ribosomal protein S7
IKAIPODG_00241	CDS	2121	fusA		COG0480	Elongation factor G 1
IKAIPODG_00242	CDS	1194	tufA_2		COG0050	Elongation factor Tu
IKAIPODG_00243	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
IKAIPODG_00244	CDS	636	rplC		COG0087	50S ribosomal protein L3
IKAIPODG_00245	CDS	603	rplD		COG0088	50S ribosomal protein L4
IKAIPODG_00246	CDS	300	rplW		COG0089	50S ribosomal protein L23
IKAIPODG_00247	CDS	822	rplB		COG0090	50S ribosomal protein L2
IKAIPODG_00248	CDS	276	rpsS		COG0185	30S ribosomal protein S19
IKAIPODG_00249	CDS	333	rplV		COG0091	50S ribosomal protein L22
IKAIPODG_00250	CDS	687	rpsC		COG0092	30S ribosomal protein S3
IKAIPODG_00251	CDS	414	rplP		COG0197	50S ribosomal protein L16
IKAIPODG_00252	CDS	192	rpmC		COG0255	50S ribosomal protein L29
IKAIPODG_00253	CDS	267	rpsQ		COG0186	30S ribosomal protein S17
IKAIPODG_00254	CDS	369	rplN		COG0093	50S ribosomal protein L14
IKAIPODG_00255	CDS	315	rplX		COG0198	50S ribosomal protein L24
IKAIPODG_00256	CDS	540	rplE		COG0094	50S ribosomal protein L5
IKAIPODG_00257	CDS	306	rpsN		COG0199	30S ribosomal protein S14
IKAIPODG_00258	CDS	393	rpsH		COG0096	30S ribosomal protein S8
IKAIPODG_00259	CDS	534	rplF		COG0097	50S ribosomal protein L6
IKAIPODG_00260	CDS	351	rplR		COG0256	50S ribosomal protein L18
IKAIPODG_00261	CDS	501	rpsE		COG0098	30S ribosomal protein S5
IKAIPODG_00262	CDS	177	rpmD		COG1841	50S ribosomal protein L30
IKAIPODG_00263	CDS	435	rplO		COG0200	50S ribosomal protein L15
IKAIPODG_00264	CDS	1329	secY		COG0201	Protein translocase subunit SecY
IKAIPODG_00265	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
IKAIPODG_00266	CDS	357	rpsM		COG0099	30S ribosomal protein S13
IKAIPODG_00267	CDS	390	rpsK		COG0100	30S ribosomal protein S11
IKAIPODG_00268	CDS	621	rpsD		COG0522	30S ribosomal protein S4
IKAIPODG_00269	CDS	1002	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
IKAIPODG_00270	CDS	390	rplQ		COG0203	50S ribosomal protein L17
IKAIPODG_00271	CDS	1449	katA	1.11.1.6	COG0753	Catalase
IKAIPODG_00272	CDS	465	bfr_1	1.16.3.1	COG2193	Bacterioferritin
IKAIPODG_00273	CDS	2838	uvrA		COG0178	UvrABC system protein A
IKAIPODG_00274	CDS	1389	yajR		COG0477	Inner membrane transport protein YajR
IKAIPODG_00275	CDS	498	ssb		COG0629	Single-stranded DNA-binding protein
IKAIPODG_00276	CDS	1431	pchA_1	5.4.4.2	COG1169	Salicylate biosynthesis isochorismate synthase
IKAIPODG_00277	CDS	306	pchB	4.2.99.21	COG1605	Isochorismate pyruvate lyase
IKAIPODG_00278	CDS	756	pikAV	3.1.2.-		Thioesterase PikA5
IKAIPODG_00279	CDS	1644	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
IKAIPODG_00280	CDS	891	pchR		COG2207	Regulatory protein PchR
IKAIPODG_00281	CDS	4317	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
IKAIPODG_00282	CDS	5430	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
IKAIPODG_00283	CDS	1050				hypothetical protein
IKAIPODG_00284	CDS	1713	irtA	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtA
IKAIPODG_00285	CDS	1725	irtB	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtB
IKAIPODG_00286	CDS	2163	fptA		COG4773	Fe(3+)-pyochelin receptor
IKAIPODG_00287	CDS	282				hypothetical protein
IKAIPODG_00288	CDS	1506				hypothetical protein
IKAIPODG_00289	CDS	1245				hypothetical protein
IKAIPODG_00290	CDS	1209	phzS	1.14.13.218	COG0654	5-methylphenazine-1-carboxylate 1-monooxygenase
IKAIPODG_00291	CDS	645	phzG_1	1.4.-.-		Phenazine biosynthesis protein PhzG
IKAIPODG_00292	CDS	438				hypothetical protein
IKAIPODG_00293	CDS	1311	exaA_1	1.1.2.8	COG4993	Quinoprotein alcohol dehydrogenase (cytochrome c)
IKAIPODG_00294	CDS	963			COG2826	IS30 family transposase ISPpu17
IKAIPODG_00295	CDS	522	exaA_2	1.1.2.8	COG4993	Quinoprotein alcohol dehydrogenase (cytochrome c)
IKAIPODG_00296	CDS	648	pipB2		COG1357	Secreted effector protein PipB2
IKAIPODG_00297	CDS	678	exaE			Transcriptional activator protein ExaE
IKAIPODG_00298	CDS	651	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
IKAIPODG_00299	CDS	141				hypothetical protein
IKAIPODG_00300	CDS	666	degU_1		COG2197	Transcriptional regulatory protein DegU
IKAIPODG_00301	CDS	864				hypothetical protein
IKAIPODG_00302	CDS	2607	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
IKAIPODG_00303	CDS	1164				hypothetical protein
IKAIPODG_00304	CDS	1200				hypothetical protein
IKAIPODG_00305	CDS	2286				hypothetical protein
IKAIPODG_00306	CDS	1704	eptA_1	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
IKAIPODG_00307	CDS	1314	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
IKAIPODG_00308	CDS	240				hypothetical protein
IKAIPODG_00309	CDS	348				hypothetical protein
IKAIPODG_00310	CDS	234				hypothetical protein
IKAIPODG_00311	CDS	501				hypothetical protein
IKAIPODG_00312	CDS	372	hpcD_1	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
IKAIPODG_00313	CDS	336				hypothetical protein
IKAIPODG_00314	CDS	1566	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
IKAIPODG_00315	CDS	267				hypothetical protein
IKAIPODG_00316	CDS	609	azoR1_1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 1
IKAIPODG_00317	CDS	936	dmlR_2			HTH-type transcriptional regulator DmlR
IKAIPODG_00318	CDS	684				hypothetical protein
IKAIPODG_00319	CDS	834	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
IKAIPODG_00320	CDS	576	pnuC		COG3201	Nicotinamide riboside transporter PnuC
IKAIPODG_00321	CDS	609				hypothetical protein
IKAIPODG_00322	CDS	489				hypothetical protein
IKAIPODG_00323	CDS	570				hypothetical protein
IKAIPODG_00324	CDS	1023				hypothetical protein
IKAIPODG_00325	CDS	681				hypothetical protein
IKAIPODG_00326	CDS	753				hypothetical protein
IKAIPODG_00327	CDS	1266				hypothetical protein
IKAIPODG_00328	CDS	927	rbsK	2.7.1.15	COG0524	Ribokinase
IKAIPODG_00329	CDS	1014	rbsR		COG1609	Ribose operon repressor
IKAIPODG_00330	CDS	999	rbsC		COG1172	Ribose import permease protein RbsC
IKAIPODG_00331	CDS	1533	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
IKAIPODG_00332	CDS	960	rbsB		COG1879	Ribose import binding protein RbsB
IKAIPODG_00333	CDS	1329	zraR_1		COG2204	Transcriptional regulatory protein ZraR
IKAIPODG_00334	CDS	1488				hypothetical protein
IKAIPODG_00335	CDS	1098				hypothetical protein
IKAIPODG_00336	CDS	135				hypothetical protein
IKAIPODG_00337	CDS	1896				hypothetical protein
IKAIPODG_00338	CDS	1140				hypothetical protein
IKAIPODG_00339	CDS	1323				hypothetical protein
IKAIPODG_00340	CDS	1371				hypothetical protein
IKAIPODG_00341	CDS	381				hypothetical protein
IKAIPODG_00342	CDS	2205	paoC	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
IKAIPODG_00343	CDS	990	paoB	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
IKAIPODG_00344	CDS	513	paoA	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
IKAIPODG_00345	CDS	1296	bdlA_1		COG0840	Biofilm dispersion protein BdlA
IKAIPODG_00346	CDS	297				hypothetical protein
IKAIPODG_00347	CDS	624	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
IKAIPODG_00348	CDS	2301	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
IKAIPODG_00349	CDS	2280				hypothetical protein
IKAIPODG_00350	CDS	327				hypothetical protein
IKAIPODG_00351	CDS	477				hypothetical protein
IKAIPODG_00352	tRNA	90				tRNA-Ser(act)
IKAIPODG_00353	CDS	1962	cirA		COG4771	Colicin I receptor
IKAIPODG_00354	CDS	810	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
IKAIPODG_00355	CDS	2028	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
IKAIPODG_00356	CDS	147				hypothetical protein
IKAIPODG_00357	CDS	699				hypothetical protein
IKAIPODG_00358	CDS	1401	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
IKAIPODG_00359	CDS	348				hypothetical protein
IKAIPODG_00360	CDS	1233	mtr_1			Tryptophan-specific transport protein
IKAIPODG_00361	CDS	1548				hypothetical protein
IKAIPODG_00362	CDS	1227				hypothetical protein
IKAIPODG_00363	CDS	681				hypothetical protein
IKAIPODG_00364	CDS	507	fecI_1		COG1595	putative RNA polymerase sigma factor FecI
IKAIPODG_00365	CDS	951	fecR_1		COG3712	Protein FecR
IKAIPODG_00366	CDS	2415	fcuA			Ferrichrome receptor FcuA
IKAIPODG_00367	CDS	1152				hypothetical protein
IKAIPODG_00368	CDS	189				hypothetical protein
IKAIPODG_00369	CDS	1212	yfcJ			putative MFS-type transporter YfcJ
IKAIPODG_00370	CDS	1641				hypothetical protein
IKAIPODG_00371	CDS	537				hypothetical protein
IKAIPODG_00372	CDS	648	phzG_2	1.4.-.-		Phenazine biosynthesis protein PhzG
IKAIPODG_00373	CDS	231				hypothetical protein
IKAIPODG_00374	CDS	2757	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
IKAIPODG_00375	CDS	1197				hypothetical protein
